Date;Open;High;Low;Close;Adj Close;Volume;;Date;sentiment_polarity;sentiment_neg;sentiment_neu;sentiment_pos;news_count
3.04.2023;164.2700043;166.2899933;164.2200012;166.1699982;165.2877502;56976200;;9.09.2022;0.446871795;0.035230769;0.862461538;0.102358974;39
4.04.2023;166.6000061;166.8399963;165.1100006;165.6300049;164.7506256;46278300;;10.09.2022;0.4458;0.0467;0.8549;0.0982;10
5.04.2023;164.7400055;165.0500031;161.8000031;163.7599945;162.8905334;51511700;;11.09.2022;0.704;0.008333333;0.883333333;0.108666667;3
6.04.2023;162.4299927;164.9600067;162;164.6600037;163.7857666;45390100;;12.09.2022;0.6848125;0.02496875;0.88040625;0.09459375;32
10.04.2023;161.4199982;162.0299988;160.0800018;162.0299988;161.1697235;47716900;;13.09.2022;0.440888889;0.031833333;0.866194444;0.101916667;36
11.04.2023;162.3500061;162.3600006;160.5099945;160.8000031;159.9462433;47644200;;14.09.2022;0.521806452;0.04116129;0.856870968;0.102032258;31
12.04.2023;161.2200012;162.0599976;159.7799988;160.1000061;159.2499847;50133100;;15.09.2022;0.457;0.035617647;0.871117647;0.093323529;34
13.04.2023;161.6300049;165.8000031;161.4199982;165.5599976;164.6809845;68445600;;16.09.2022;0.295916667;0.0525;0.845333333;0.10225;24
14.04.2023;164.5899963;166.3200073;163.8200073;165.2100067;164.3328552;49386500;;17.09.2022;0.154833333;0.065;0.853333333;0.0815;6
17.04.2023;165.0899963;165.3899994;164.0299988;165.2299957;164.3527374;41516200;;18.09.2022;0.772666667;0.047666667;0.765666667;0.186666667;3
18.04.2023;166.1000061;167.4100037;165.6499939;166.4700012;165.5861664;49923000;;19.09.2022;0.654176471;0.036941176;0.850235294;0.112764706;17
19.04.2023;165.8000031;168.1600037;165.5399933;167.6300049;166.7400055;47720200;;20.09.2022;0.488714286;0.040771429;0.872;0.0872;35
20.04.2023;166.0899963;167.8699951;165.5599976;166.6499939;165.7651825;52456400;;21.09.2022;0.422444444;0.032444444;0.888055556;0.0795;18
21.04.2023;165.0500031;166.4499969;164.4900055;165.0200043;164.1438599;58337300;;22.09.2022;0.566266667;0.0377;0.858733333;0.1036;30
24.04.2023;165;165.6000061;163.8899994;165.3300018;164.4522095;41949600;;23.09.2022;0.446757576;0.036272727;0.859666667;0.104060606;34
25.04.2023;165.1900024;166.3099976;163.7299957;163.7700043;162.9004974;48714100;;25.09.2022;0.5035;0.02075;0.884;0.0955;5
26.04.2023;163.0599976;165.2799988;162.8000031;163.7599945;162.8905334;45498800;;26.09.2022;0.578142857;0.039047619;0.861261905;0.099666667;42
27.04.2023;165.1900024;168.5599976;165.1900024;168.4100037;167.5158539;64902300;;27.09.2022;0.6130625;0.05325;0.81975;0.1269375;16
28.04.2023;168.4900055;169.8500061;167.8800049;169.6799927;168.7791138;55209200;;28.09.2022;0.39158;0.05126;0.85786;0.09084;51
1.05.2023;169.2799988;170.4499969;168.6399994;169.5899963;168.6895905;52472900;;29.09.2022;0.194864865;0.058945946;0.860162162;0.080783784;37
2.05.2023;170.0899963;170.3500061;167.5399933;168.5399933;167.6451569;48425700;;30.09.2022;0.31295;0.060025;0.8554;0.0847;40
3.05.2023;169.5;170.9199982;167.1600037;167.4499969;166.5609436;65136000;;1.10.2022;0.617;0.0375;0.842875;0.120125;8
4.05.2023;164.8899994;167.0399933;164.3099976;165.7899933;164.9097595;81235400;;2.10.2022;0.302;0.0405;0.8735;0.086;4
5.05.2023;170.9799957;174.3000031;170.7599945;173.5700073;172.6484833;113316400;;3.10.2022;0.519333333;0.051285714;0.852142857;0.096714286;21
8.05.2023;172.4799957;173.8500061;172.1100006;173.5;172.5788269;55962800;;4.10.2022;0.447945946;0.030567568;0.870702703;0.09872973;37
9.05.2023;173.0500031;173.5399933;171.6000061;171.7700043;170.858017;45326900;;5.10.2022;0.66564;0.02476;0.8758;0.0994;25
10.05.2023;173.0200043;174.0299988;171.8999939;173.5599976;172.638504;53724500;;6.10.2022;0.383166667;0.037066667;0.896833333;0.066166667;30
11.05.2023;173.8500061;174.5899963;172.1699982;173.75;172.8274994;49514700;;7.10.2022;0.493318182;0.034681818;0.860090909;0.105181818;22
12.05.2023;173.6199951;174.0599976;171;172.5700073;171.8912048;45497800;;8.10.2022;0.1905;0.040625;0.862125;0.097375;8
